Keyword,Emojis
inquiry,"['❓','🤔','🔎']"
native,"['🏞️','🧑🏽‍🤝‍🧑🏽','🏡']"
defender,"['🛡️','⚔️','👮']"
supreme court,"['⚖️','🏛️','🇺🇸']"
plead,"['🥺','🙏','begging']"
indication,"['👉','📍','💡']"
publicist,"['📢','📣','✍️']"
charges,"['⚡','🔋','💸']"
pastor,"['🙏','⛪','📖']"
morris,"['🚗','🕺','🇬🇧']"
meadows,"['🌱','🌼','🌾']"
operative,"['🕵️','💼','🎯']"
conflicting,"['⚔️','🤯','🤦','🤷']"
stronghold,"['🏰','🛡️','🧱']"
plot,"['📜','🎬','🧩']"
georgian,"['🇬🇪','🍷','⛰️']"
fraud,"['🚨','💸','🎭']"
leap,"['🤸','🦘','🚀']"
faith,"['🕊️','🙏','✝️']"
lyric,"['🎶','🎤','📝']"
defeat,"['💔','📉','🤕','🏳️']"
jurisdiction,"['🏛️','🗺️','⚖️']"
annotation,"['📝','📌','💬']"
cabinet,"['🗄️','💼','🏛️']"
berkeley,"['🐻','📚','🏛️']"
developer,"['💻','👨‍💻','⚙️']"
data,"['📊','📈','🗄️']"
graphics,"['🎨','💻','🖼️']"
featured,"['⭐','📌','🏆']"
visualization,"['📊','👁️','🗺️']"
society,"['🌍','🤝','🏛️']"
journalists,"['📰','🎤','✍️']"
Keyword,Emojis
jet,"['✈️','🛩️','💨']"
parents,"['👩‍👩‍👧‍👦','👨‍👩‍👧‍👦','👪']"
cortez,"['⚔️','🚢','👑']"
purge,"['🗑️','🔥','🧼']"
import,"['📦','🌍','🚚']"
countermeasure,"['🛡️','🚧','💊']"
mid,"['😐','👎','⭐']"
lively,"['🎉','💃','🔥']"
accuser,"['👉','🗣️','обвиняющий_палец']"
reynolds,"['🌊','🧪','🔢']"
autism,"['🧩','🧠','♾️']"
pronoun,"['👤','➡️','💬']"
vogue,"['💃','📸','💄']"
assessment,"['📝','📊','🔍']"
acting,"['🎭','🎬','🗣️']"
routine,"['🗓️','⏰','🔄']"
recession,"['📉','💸','🤕']"
today,"['🗓️','☀️','⌚']"
struggle,"['😓','😩','💪','🚧']"
mood,"['😊','😔','😠','🤔']"
conclusion,"['✅','🏁','📍']"
remark,"['💬','🗣️','✍️']"
falsehood,"['🤥','🎭','🤡']"
mogul,"['👑','💰','🏢']"
elizabeth,"['👑','🇬🇧','🍵']"
bound,"['🔗','⛓️','🔒']"
behavior,"['🎭','🧠','🚦']"
times,"['×','÷','⏳']"
harassment,"['😠','😒','🚫','🗣️','✋']"
rife,"['🦠','🔥','🌱']"
inaccuracy,"['❌','🤥','🤷']"
misrepresentation,"['🤥','🎭','⚠️']"
omission,"['❌','➖','🙊']"
narrative,"['📖','🎭','🗣️']"
reputation,"['🌟','👤','⚖️']"
filming,"['🎬','🎥','🎞️']"
production,"['🏭','⚙️','📦']"
celebrity,"['🌟','📸','👑']"
graduate,"['🎓','🧑‍🎓','🎉']"
kant,"['🤔','🏛️','🧭']"
anecdote,"['🗣️','📚','💭']"
hume,"['🧑‍🔬','🤔','🌍','🌡️']"
fascination,"['🤩','🤔','✨','👁️']"
spoiler,"['🤫','🙊','🎬']"
finale,"['🎬','🎉','🏁']"
joel,"['👨','📖','🕊️']"
neighbor,"['🏘️','🧑‍🤝‍🧑','🤝']"
welcome,"🤝,🏠,🌼,👋,🌈"
article,"📜,🗞,📝,📚,📚"
news,"📰,🔔,📺,📝,🌐"
day,"🌞,🌙,📅,☀️,🌞"
picture,"📷,🖼️,🎭,📸"
area,"🌍,🗺️,📍,🏠,🌐"
sister,"👧,👦‍🦱,👪,👭,👫"
language,"📝,🗣️,📖,🔔,🌐"
sun,"☀️,🌞,🌒,🌅,🌤️"
star,"🌟,🛰,🌠,🌈,🌟"
center,"☀️,⚙️,🌐,LECTRIC_LIGHT_BULB,🎯"
system,"💻,📚,🔧,🔄,📈"
it,"💭,💬,🤝,💭,❓"
sphere,"🌍,🌐,🔵🔶🔷(representinga3Dsphere),🌟(representingacelestialsphere)"
plasma,"💦,⚡,💡,🔬,🩺"
incandescence,"🔥,💡,🌟,🌃,🔆"
reaction,"😃,😕,🎉,😮,😓"
core,"👨‍🍳,🔨,🧯,🌎,💼"
energy,"💡,🔥,🔋,⚡,🌞"
surface,"🌎,🌊,🌊,🌐,☀️"
launch,"🚀,🌐,🔫,🌐,🚀"
review,"📝,⭐,💭,📈,📊"
disputes,"🗣️,🤝,🤨,💥,😠"
policies,"📜,🔒,🔗,📝,📊"
policy,"📜,🗺️,🗣️,🔒,📝"
guideline,"📝,📏,📊,📈,🔍"
accuracy,"📏,🔍,🔧,🔍,🌟"
discouragement,"🙁,😓,😟,😕,💔"
coverage,"🏠,🏙️,🗺️,📷,🔒"
topic,"🗣️,📝,💬,🔍,💭"
bias,"🤝,🎯,📈,🔍,🙅‍♀️,🙅‍♂️"
content,"📝,📚,📜,📝,📢"
foundation,"🏠,🗺️,MortarBoard,🏗️,📦"
movement,"🚶‍♀️,🚶‍♂️,🏃‍♂️,🏃‍♀️,🛵,🚲,✈️,🚗,🚕,🚌,🚤,🛶,🛴,🐠,"
operation,🔧🛠️💼📝🔍
access,"🚪,🔑,🛋️,🏠,👥"
methods,"🔍,💡,📝,🔧,🔄"
source,"💧,🔱,📝,🔗,📚"
significance,"🌟,🔑,💡,🌈,🌐"
research,"📚,🔍,💡,📊,📈"
background,"🌎,🌌,🏠,🌱,🌫"
origins,"🌎,🔵💔,🌱,👶,📜"
project,"🗺️,🏗️,📝,📅,📈"
note,"📝,📝💭,📝📖,📝📱,📝📚"
information,"📜,📝,🔍,💭,📚"
kind,"🤗,💓,💚,🌼,💞"
work,"✍️,💼,📊,⏰,💻"
art,"🎨,🖼️,🎭,🎶,🎨"
book,"📚,📖,📝,📚,📚"
program,"💻,🔧,📝,📈,💡"
copyright,"📝,©,🔒,📈,💼"
limitation,"🚫,🔒,🔄,⏹️,🔍"
usage,"📝,🔧,💻,📱,📚"
modification,🔧🛠️🔄💄🎨
distribution,"📦,📨,🔄,📈,🌐"
expression,"😃,😟,😮,😂,😶"
purpose,"🎯,💡,🌱,🌈,🔍"
case,"📂,🔎,📜,⚖️,📦"
element,"🌀,🌉,🌋,💧,🌈"
difference,"👩‍🤝‍👩,🌈,🌐,🌟,👨‍🤝‍👨"
encyclopedia,"📚,🔍,📝,🌐,📖"
encyclopedias,"📚,📜,📝,🔎,📖"
digital,"💻,📱,💽,🔌,🌐"
cited,"📝,📚,🔗,📝,🔍"
link,"🔗,🔒,🔗,🔍,🔗"
compendium,"📔,📚,📖,📝,📜"
summary,"📝,📊,🔍,📈,📉"
knowledge,"📚,💡,🔍,📝,💻"
field,"🌽,🌾,🏟️,🌳,🌄"
discipline,"📈,👨‍🏫,🚫,🔵,🏆"
entry,"🚪,🏠,🛋️,🏢,🎒"
name,"👤,🗒️,🔖,📝,💬"
category,"📂,🔍,📦,📱,📚"
dictionary,"📖,🔍,📝,📚"
subject,"🎯,🏫,📝,🧐,🧠"
overview,"🌎,📊,🗺️,🔍,📈"
germanic,"🇩🇪,🧱,🌲,🚴‍♂️,🥩"
influence,"👨‍💼,🔮,📈,🌟,🔄"
norse,"ǫ,🛡️,🛸,🏰,⛰️"
english,"🇬🇧,📚,📝,📜,📝"
spread,"🌱,🌳,🌵,🌿,🌺"
circle,"🌀,⚫️🔵🔵🔵🔵🔵,⚪️⚪️🔵🔵🔵,🌍,⚪️⚪️⚪️🔵🔵"
country,"🇬🇧,🌎,🏙️,🌄,🌄"
stress,"ressed,😨,😰,😫,🤯"
rhythm,"🎵,💃,🥁,🕺,🎶"
intonation,"🎶,😃,😓,😱,😮"
variation,"iversity,🔄,📊,🌈,🌱"
nouns,"📖,👩‍🏫,📦,🏠,👥"
noun,"📜,🏠,📦,👤,📚"
pronouns,"👤,👦,👧,👱,👩,👨‍🤝‍👩,💁,👪,👫,🤝,👩‍🦳,🤳,👨‍🦲,"
verbs,"🎯,🏃‍♀️,💬,🕹️,💼"
phrase,"🗣️,💬,📝,🔧,💡"
phrasal,"🗣️,🔗,🔁,🔄,💬"
filter,"🔍,🌟,📽️,🔧,💦"
light,"💡,🌞,🌃,🌟,🔦"
broadband,"🌐,📡,📶,🔃,💻"
accessory,"💍,🕶️,👕,👠,👽(Theseemojisrepresentjewelry,sunglasses,clothing,shoes,andanalienaccessory,respectively.)"
astronomer,"🌟,🔭,🌌,🔍,📈"
detail,"🔍,🎯,oom,📝,🔍"
contrast,"🌙,🌞,🔵,🔴,🌱🍃"
object,"🛋️,📦,📜,🚪,🖼️"
photography,"📷,📱,📸,🎥,🌈(forcreativeorartisticphotography)"
hand,"🙋‍♂️,🤝,👋,🖐,🤏"
photometry,"🔭,💡,🌟,📸,🔍"
telescope,"🔭,🌌,💡,🔍,🌐"
order,"📜,📝,📋,📄,📅"
measurement,"📏,🔍,📊,📈,📉"
property,"🏠,🏢,🏡,💰,🔑"
classification,"📝,📊,📈,📉,🔍"
placement,"🏠,📍,📦,📱,📝"
body,"🪐,🧍‍♂️,🧍‍♀️,🦴,🤺"
curve,"🔍,🌐,📉,🌈,🌊"
part,"👤,👥,🤝,🔍,🔍(Thefirstthreerepresentpeopleorpartsofagroup,thelasttwocouldrepresentpartsinapuzzleorateam,whichcanbemetaphoricallylinkedtotheconceptof'part'.)"
structure,"🏠,🏢,🏙,🗼,🔧"
zone,"🌐,🎯,🔵🔵,🌟,🌐"
life,"🌎,👤,💔,🌱,🕰️"
sequence,🟣🟦🟧🟨🟩
development,"🏗️,📈,🌱,📚,💼"
mission,"🚀,🎯,📝,🔍,🌐"
observation,"🔍,👁️,💡,📸,🙋‍♀️,🙋‍♂️"
exposure,"🔦,📸,🌟,🌧,🌅"
eye,"👁️,👁️‍🌝,👁️💦,👁️🔍,👁️💭"
aspect,"🌐,⚙️,🔍,🌐,🔍"
centre,"🌐,⚛️,🛌,⚪️,🎯"
units,"🔢,📏,📐,⚙️,📈"
formation,"🗼,LOCATION_MARKER:house_with_garden,🏠,👥,🔄"
post,"📩,📧,📝,📨,📤"
pathway,"🛣️,riders,🚪,🛠️,🚶‍♀️"
spheroid,"🌐,🌎,🔵🔵⚪️⚪️,💫,🌐"
gravity,"🌎,🔵🔵⬇️,☄️,🔵🔵⬇️⬇️,🌀"
earth,"🌍,🌱,🌳,🌊,🌎"
night,"🌃,🌟,waxing_crescent_moon,🌙"
distance,"🌐,📏,🚶‍♀️,🚀,🌌"
point,"☝️,✋,💭,❓,➡️"
constellation,"🌟,ipper,🌠,🌌,🔭"
asterism,"🌠,🌟,🌟🌟🌟,🌠🌠🌠🌠,🌟🌟🌟🌟🌟"
evolution,"🕐,🐙,🐒,🌱,🔍"
present,"🎁,🕒,📅,🎄,🎊"
characteristic,"🙋‍♂️,🙋‍♀️,🤓,🤩,😐"
distances,"🌐,📍,🚶‍♀️,✈️,🌐"
comparison,"🔫,🧐,📈,🏆,📉"
asteroid,"🌕,🌌,💥,🛰️,🌐"
outer,"🌍,🌌,🔭,🌞,🌄"
kuiper,"♄,❄,🔫,🛰,🌐"
edge,"🔒,ner,🌐,🌋,🌊"
population,"🌍,👫,👩‍👧,👦,👴"
meteoroids,"🌃,🛰,🚀,🔥,bris"
meteor,"🌃,💥,🌊,🚀,🌩️"
region,"🌍,🌐,elfaceprofile,🗺️,🌄"
discovery,"🌎,🔍,💡,🌟,🛰️"
exploration,"🌍,🛰️,🌐,🔍,🌱"
properties,"🏠,🏢,🏡,💰,🏛️"
pencil,"📝,✏️,📒,📔,📓"
geometry,"🔢,⚫️,▫️,🔵,☐"
curves,"🌱,🌾,🌺,🌼,🌎"
intersection,"iverging_arrows,☐☑️,⤴️⤵️,☯️,∩"
space,"🌌,🛰,🪐,🚀,👽"
reference,"📚,🔗,📝,🔎,🔗"
analogue,"📺,📱,🎛️,📸,📏"
set,"📦,🔄,🎯,📝,🔢"
physics,"🔬,🌀,💡,☄️,🌐"
definition,"📝,💬,🔍,📜,🔑"
degree,"🎓,📈,🌟,📉"
model,"🧩,👩‍🎓,📈,📊,📏"
discharge,"💦,💧,🔵🔵⚫️⚫️(foramedicalcontext,usingtheblooddropandred/blackcombination)"
phenomena,"🌀,🌙,☄️,🌃,🌌"
gallery,"🎭,🖼️,🏫,🎨,📱"
substance,"💧,💊,🧪,🍽,🍼"
state,"🗺️,🏘️,elft,🏙️,🏰"
matter,"🌀,🌈,💧,🌉,🌋"
presence,"👥,🏠,🌐,🕒,💬"
portion,"🍽️,🍴,🥘,🍽,🍴"
particle,"💡,⚛️,🎯,💨,🌀"
combination,"🔁,🔄,🔢,💼,🎯"
ion,"🔰,💡,⚡,💦,🔋"
electron,"🔋,💡,💽,📡,💻"
form,"📌,🔄,🌐,🌌,🔢"
principle,"📜,🔍,🌱,💡,📝"
wave,"🌊,🌊,🌊,🌺,🌊"
power,"💼,🔫,💥,👑,💪"
radiation,"💫,💥,erna,🔵,🔵☯️"
emission,"☢️,🌫️,💨,🌊,🚀"
transfer,"🔄,➡️,📦,🚚,📧"
bulb,"💡,💽,💼,🔦,💡"
comfort,"🛋️,🛏️,🤗,💤,🍵"
personal,"👤,🏠,💭,📜,💓"
regulation,"📜,🔒,🛡️,👮‍♂️,⚖️"
motion,"🏃‍♂️,🚗,✈️,🏃‍♀️,🚀"
temperature,"☀️,🌡️,❄️,☔,🌥️"
theory,"🧠,📚,📝,💭,🔍"
process,"⚙️,🔄,🕰️,📊,📈"
accretion,"🌐,🌋,🌟,⚛️,🌌"
beam,"💡,🔦,🌟,🛰️,🌈"
fusion,"🌐,🔄,🌋,🌈,🍔🍟(Theseemojisrepresentconceptslikeconnection,blending,volcano,rainbow,andaburgerandfries,whichcansymbolizeafusionoffooditems.)"
confinement,"🏠,🚪,🔒,🚫,😷"
criteria,"🎯,📝,📊,🔍,📈"
candidate,"🗳️,👥,🏆,🎓,💼"
abundance,"🌱,💰,💼,🌱,🌐"
requirement,"📝,🔍,💭,📝,💼"
loss,"💔,😥,💤,🌚,🌌"
description,"📝,📖,🔍,💬,📚"
section,"📖,🔄,📌,📦,🔒"
formulas,"📝,🔢,📈,📉,🔄"
nucleus,"ernel,🧬,ono,🔵🔵🔵🔵🔵🔵,💧"
neutron,"uterene,erna,🔺,🔻,🔵"
product,"🛍️,📦,💼,📈,💰"
mass,🔵💫🌐📏🌌
perception,"👁️,🔍,💭,🤯,💡"
science,"🔬,🧪,📚,📈,🔍"
term,"📚,⏳,📅,📝,🔍"
layer,"🔕,📏,🌐,📈,📋"
observer,"👁️,👁️‍🗨️,🔍,🤓,🤸‍💫(Theseemojisrepresentdifferentaspectsofobservingorbeinganobserver,suchasaneye,athinkingface,amagnifyingglass,anerd,andapersoninthought.)"
sense,"🧠,👁️🗨️,🔍,🌠,💭"
sight,"👁️,🌅,🔍,💡,🌈"
touch,"🤚,🤗,🤚,🤗,🤐"
material,"🔵,↗️,🏠,🛍️,💼"
quality,"🌟,🏆,🔝,💡,🔍"
color,"🌈,🔴,🔵,🟣,🟤"
warmth,"🌞,🔥,🌪,💞,🌼"
concept,"💡,💭,📜,💻"
speed,"🚀,🏎️,⏱️,💨,🏃‍♀️"
spectrum,"🌈,🌟,🌡️,🌈,🌉"
wavelength,"🔵,🟥,🌈,🌅,🌟"
range,"🔢,📉,📈,🌐,🌄"
nanometre,"🔬,📐,🔍,💡,📈"
nm,"🔍,🤫,🧐,😐,🤯"
frequency,"🔄,📈,📉,🔍,📊"
terahertz,"📡,🔵,🔭,💡,🔍"
band,"🎺🎶🎵🤘,where🎺representsamusicalinstrument(trumpet,commonlyassociatedwithbands),🎶representsamusicalnote(representingmusic),🎵representsaCD(representingaband'salbumormusic),and🤘representsahandsignoftenusedinconcerts(representingfansofaband).Thelastone"
ultraviolet,"💫,🔵,🔍,🔺,🔻"
ray,"💡,☀️,🌞,🛡️,🔦"
microwave,"🥘,🔺,🍝,🕒,⏱️"
relationship,"❤️,👫,👭,🤝,💞"
regions,"🌍,🌄,🏰,🌄,🌅"
limit,"🚫,🔒,🔄,🔍,🌓"
communications,"📞,💬,📧,🗣️,📢"
conservation,"🌎,🐯,🌳,🐠,💧"
analysis,"🔍,📊,📈,📉,💡"
history,"🗓️,📜,🏛️,🎓,🗺️"
ir,"☔️,❄️,❄️❅-❆,🌧️,💧"
planet,"🌍,🌟,🌐,🌕,🌙"
type,"盘,📝,💻,📜,📚"
dwarf,"warf,🧔,🎅,🧨,🏰"
masse,"👩‍🦳,🧖‍♀️,🛁,💆‍♀️,💆‍♂️"
hydrogen,"uterinemembrane(atomsymbol),💧(waterdroplet,representinghydrogen'sroleinwater),🔵(bluecircle,acommoncolorforhydrogenindiagrams),🔋(battery,symbolizingitsuseinfuelcells)"
helium,"🛰️,🎈,🔵,💨,💧"
mean,"🙁,😠,😞,😟,😓"
example,"📗,🔗,📥,📝,🔍"
ton,"🔵,🔶,🔷,🔹,🔺"
chain,"🔗,🔐,🔋,🔓,🔏"
phenomenon,"🌀,💫,🌈,🔍,🌌"
death,"💔,😥,⚰️,🕊️,🌹"
tolerance,"🌐,🤝,💁,🤝,🌈"
universe,"🌌,🛰,🌟,🪐,🔭"
capacity,"📦,📈,🔄,📏,🌐"
homeostasis,"🏠,🩺,🧪,🌐,🌈"
organisation,"📋,📁,🗂️,📌,🔗"
metabolism,"🦴,🍔,🏃‍♀️,🏋️‍♂️,🔥"
growth,"🌱,🌿,🌱,🌱,☝️(Thelastone,whilenotdirectlyrepresentinggrowth,canbeinterpretedasasymbolforprogressorachievement,whichiscloselyrelatedtotheconceptofgrowth.)"
adaptation,"🌱,🔄,🦋,🌐,🌈"
response,"🔝,💬,💭,💭,💭"
origin,"🌎,🏠,🗺️,👶,📜"
size,"🔍,📏,🌐,🌎,🔢"
tilt,"🔄,💼,🔄,🌆,🔄(Thefirstandlastarefortheideaofachangeorshift,thesecondforadeskorwork,andthethirdisarepeatofthefirstforemphasis.Thefourthisacityscapeatdusk,whichcouldrepresentachangeinperspective,andthefifthisarepeatofthefirstforcontinuity.)"
season,"🌞,🍂,🌱,🌲,❄️"
weather,"☀️,🌙,🌧,☔,🌦"
climate,"🌍,🌡️,☀️,☔️,🌫️"
resource,"💧,💰,📈,📉,📚"
use,"🔧,💻,✏️,🛍️,📝"
humans,"👩‍🤝‍👩,🧔,👦,👧,👴"
environment,"🌎,🌳,🌊,☀️,🌞"
world,"🌍,🌏,🌎,🌐,🌞(Theseemojisrepresentearth,globe,world,internet,andsun,whicharealldirectlyrelatedtotheconceptof'world'.)"
telecommunication,"📞,📱,💻,🔼,📵"
astronomy,"🌌,🔭,🌟,🛰️,🌐"
second,"⏱️,🕛,⌛,🔁,🔜"
unit,"🔄,🔍,📏,🔢,📊"
length,"📏,🔎,🛡️,🔢,📈"
travel,"🌍,✈️,🛫,🚌,🏨"
ft,"uilding,🔻,📏,🏋️,📉"
mile,"🚶‍♀️,🚶‍♂️,🚗,🚌,🛫"
basis,"🌐,📐,📈,📉,📊"
time,"⏰,⏳,⏲,⏱,🕒"
nanosecond,"⏱️,🔬,💡,🔍,💽"
mm,"🗣️,😋,🤫,😮,🤐"
foot,"👣,🦶,👠,👢,👖"
examples,"📜,🔍,📝,🔮,🌐"
radius,"⚫️,eturning_left,⚽️,🔍,⚛️"
depth,"🌊,🔵🔵🔵,🌌,💦,🌋"
kilometre,"🚶‍♂️,🚗,🏃‍♀️,🚴‍♂️,🛤️"
jupiter,"🪄,♃,🌞,🌌,🔭"
pole,"🌟,🎠,🧷,🌐,🌐"
equator,"🌍,☀️,☀️,☁️,🌞"
rotation,"⭕️,🔄,🔁,⚽️,🌀"
oblateness,"🌞,🌙,🍞,🥐,🌎"
